HomeTeam,Season,SAG_GA,SAG_PKA,SAG_FK,SAG_CK,SAG_OG,SAG_PSxG,SAG_PSxG/SoT,SAG_PSxG+/-,SAG_/90,SAG_Cmp,SAG_Att,SAG_Cmp%,SAG_Att,SAG_Thr,SAG_Launch%,SAG_AvgLen,SAG_G+A-PK,SAG_Launch%,SAG_AvgLen,SAG_Opp,SAG_Stp,SAG_Stp%,SAG_#OPA,SAG_#OPA/90,SAG_AvgDist,SDA_Tkl,SDA_TklW,SDA_Def3rd,SDA_Mid3rd,SDA_Att3rd,SDA_Tkl,SDA_Att,SDA_Tkl%,SDA_Past,SDA_Blocks,SDA_Sh,SDA_Pass,SDA_Int,SDA_Tkl+Int,SDA_Clr,SDA_Err,SGSC_SCA,SGSC_SCA90,SGSC_PassLive,SGSC_PassDead,SGSC_Drib,SGSC_Sh,SGSC_Fld,SGSC_Def,SGSC_GCA,SGSC_GCA90,SGSC_PassLive,SGSC_PassDead,SGSC_Drib,SGSC_Sh,SGSC_Fld,SGSC_Def,SM_CrdY,SM_CrdR,SM_2CrdY,SM_Fls,SM_Fld,SM_Off,SM_Crs,SM_Int,SM_TklW,SM_PKwon,SM_PKcon,SM_OG,SM_Recov,SM_Won,SM_Lost,SM_Won%,PT_Att,PT_Live,PT_Dead,PT_FK,PT_TB,PT_Sw,PT_Crs,PT_TI,PT_CK,PT_In,PT_Out,PT_Str,PT_Cmp,PT_Off,PT_Blocks,P_Cmp,P_Att,P_Cmp%,P_TotDist,P_PrgDist,P_Cmp,P_Att,P_Cmp%,P_Cmp,P_Att,P_Cmp%,P_Cmp,P_Att,P_Cmp%,P_Ast,P_xAG,P_xA,P_A-xAG,P_KP,P_1/3,P_PPA,P_CrsPA,P_Prog,SPT_Age,SPT_MP,SPT_Mn/MP,SPT_Min%,SPT_90s,SPT_Start,SPT_Mn/Start,SPT_Compl,SPT_Subs,SPT_Mn/Sub,SPT_unSub,SPT_PPM,SPT_onG,SPT_onGA,SPT_+/-,SPT_+/-90,SPT_onxG,SPT_onxGA,SPT_xG+/-,SPT_xG+/-90,SP_Poss,SP_90s,SP_Touches,SP_DefPen,SP_Def3rd,SP_Mid3rd,SP_Att3rd,SP_AttPen,SP_Live,SP_Succ,SP_Att,SP_Succ%,SP_Mis,SP_Dis,SP_Rec,SP_Prog,SS_Gls,SS_Sh,SS_SoT,SS_SoT%,SS_Sh/90,SS_SoT/90,SS_G/Sh,SS_G/SoT,SS_Dist,SS_FK,SS_PK,SS_PKatt,SS_xG,SS_npxG,SS_npxG/Sh,SS_G-xG,SS_np:G-xG,SSS_Age,SSS_Poss,SSS_MP,SSS_Starts,SSS_90s,SSS_Gls,SSS_Ast,SSS_G-PK,SSS_PK,SSS_PKatt,SSS_CrdY,SSS_CrdR,SSS_Gls,SSS_Ast,SSS_G+A,SSS_G-PK,SSS_G+A-PK,SSS_xG,SSS_npxG,SSS_xAG,SSS_npxG+xAG,SSS_xG,SSS_xAG,SSS_xG+xAG,SSS_npxG,SSS_npxG+xAG,RS_xG,RS_xGA,RS_xGD,RS_xGD/90
Arsenal,2022,11,1,0,1,1,10.2,0.25,0.2,0.02,49,167,29.3,349,71,36.7,34.5,58,67.2,53.8,147,8,5.4,15,1.07,15.2,206,128,94,69,43,88,162,54.3,74,131,33,98,108,314,238,11,390,27.86,288,32,19,29,15,7,57,4.07,46,4,0,6,1,0,23,0,0,139,155,19,230,108,128,1,2,1,737,154,190,44.8,7829,7221,589,190,16,37,230,232,77,57,4,0,6539,19,114,6539,7829,83.5,113556,38500,2995,3299,90.8,2842,3206,88.6,560,965,58,24,18.3,15.6,5.7,164,587,155,25,488,24.8,14,90,100,14,154,85,100,55,13,71,2.64,33,11,22,1.57,26.2,11.8,14.3,1.02,57.8,14,9310,705,2351,4321,2716,456,9309,127,270,47,220,161,6437,468,32,221,77,34.8,15.79,5.5,0.14,0.4,15.9,7,1,1,26.2,25.7,0.12,5.8,5.3,24.8,57.8,14,154,14,32,24,31,1,1,23,0,2.29,1.71,4,2.21,3.93,26.2,25.7,18.3,44,1.87,1.31,3.18,1.84,3.14,26.2,11.8,14.3,1.02
Aston Villa,2022,22,2,1,3,3,18,0.25,-1,-0.07,76,220,34.5,414,57,40.3,35.5,98,54.1,43.8,185,27,14.6,7,0.47,10.8,287,149,142,113,32,129,225,57.3,96,188,50,138,142,429,249,4,282,18.8,217,17,15,16,13,4,27,1.8,17,0,2,4,3,1,37,1,0,179,180,31,252,142,149,2,3,3,763,204,213,48.9,6819,6098,690,195,18,40,252,294,65,38,11,2,5296,31,126,5296,6819,77.7,94085,34760,2380,2728,87.2,2226,2625,84.8,545,1080,50.5,9,12.3,10.9,-3.3,114,415,96,31,355,27.5,15,90,100,15,165,83,105,59,20,76,1.2,16,22,-6,-0.4,17.7,19.3,-1.6,-0.1,47.5,15,8387,977,2813,3732,1920,269,8384,77,203,37.9,234,136,5207,347,16,162,56,34.6,10.8,3.73,0.09,0.25,18.7,6,2,2,17.7,16.2,0.1,-1.7,-2.2,27.5,47.5,15,165,15,16,9,14,2,2,37,1,1.07,0.6,1.67,0.93,1.53,17.7,16.2,12.3,28.6,1.18,0.82,2,1.08,1.9,17.7,19.3,-1.6,-0.1
Bournemouth,2022,32,5,0,9,2,26.5,0.3,-3.5,-0.23,113,240,47.1,309,63,46.9,37.3,143,66.4,47.9,312,15,4.8,8,0.53,10.7,249,156,123,103,23,100,203,49.3,103,186,74,112,109,358,411,1,211,14.07,155,19,12,14,8,3,31,2.07,21,3,0,5,1,1,24,0,0,158,159,12,186,109,156,0,5,2,728,196,217,47.5,5827,5109,706,184,11,31,186,276,54,33,10,3,4418,12,134,4418,5827,75.8,79186,32738,1990,2313,86,1827,2180,83.8,464,947,49,14,9.5,9.4,4.5,97,297,81,26,258,26.8,15,90,100,15,165,85,115,51,16,84,1.07,18,32,-14,-0.93,11.6,24.2,-12.6,-0.84,38.5,15,7468,1142,3141,2967,1472,240,7468,89,231,38.5,224,161,4357,249,18,122,48,39.3,8.13,3.2,0.15,0.38,15.7,4,0,0,11.6,11.6,0.1,6.4,6.4,26.8,38.5,15,165,15,18,14,18,0,0,24,0,1.2,0.93,2.13,1.2,2.13,11.6,11.6,9.5,21.1,0.77,0.63,1.4,0.77,1.4,11.6,24.2,-12.6,-0.84
Brentford,2022,25,1,0,7,2,21.4,0.24,-1.6,-0.11,129,321,40.2,525,74,45.7,37.9,120,67.5,51.3,219,22,10,23,1.53,16.1,225,132,102,86,37,100,199,50.3,99,174,73,101,138,363,303,6,267,17.8,176,40,11,17,19,4,40,2.67,24,4,1,3,6,2,21,0,0,129,161,26,254,138,132,3,1,2,734,243,214,53.2,6221,5487,708,181,19,46,254,292,71,33,20,5,4608,26,105,4608,6221,74.1,84717,34358,2122,2500,84.9,1806,2235,80.8,565,1132,49.9,12,12.9,11.4,-0.9,109,364,106,29,310,26.5,15,90,100,15,165,81,95,70,21,65,1.27,23,25,-2,-0.13,20.3,20.3,0,0,44.7,15,7805,1042,2942,3054,1869,306,7801,85,222,38.3,221,151,4528,302,23,152,58,38.2,10.13,3.87,0.13,0.33,15.8,5,4,4,20.3,17.3,0.12,2.7,1.7,26.5,44.7,15,165,15,23,12,19,4,4,21,0,1.53,0.8,2.33,1.27,2.07,20.3,17.3,12.9,30.2,1.35,0.86,2.22,1.15,2.01,20.3,20.3,0,0
Brighton,2022,19,4,0,2,3,15.5,0.24,-0.5,-0.04,48,165,29.1,382,63,31.7,33.6,94,46.8,41.4,148,10,6.8,8,0.57,14.1,242,138,104,96,42,91,173,52.6,82,155,35,120,132,374,194,5,338,24.14,258,28,15,19,13,5,34,2.43,25,0,3,2,4,0,19,0,0,154,137,23,269,132,138,3,4,3,725,167,169,49.7,7596,6901,672,157,29,62,269,290,90,44,30,2,6145,23,141,6145,7596,80.9,107830,36780,2789,3133,89,2590,2986,86.7,603,1069,56.4,11,15.7,15,-4.7,152,515,142,32,439,27.6,14,90,100,14,154,85,104,51,16,75,1.5,23,19,4,0.29,21.5,15.9,5.6,0.4,55.4,14,9031,893,2750,3846,2497,370,9028,76,206,36.9,224,118,6057,430,20,192,69,35.9,13.71,4.93,0.09,0.25,17,5,3,3,21.5,19.3,0.1,-1.5,-2.3,27.6,55.4,14,154,14,20,11,17,3,3,19,0,1.43,0.79,2.21,1.21,2,21.5,19.3,15.7,35,1.53,1.12,2.66,1.38,2.5,21.5,15.9,5.6,0.4
Chelsea,2022,17,0,0,4,2,19.4,0.33,4.4,0.32,45,134,33.6,365,62,23.6,28.5,103,46.6,35.6,188,10,5.3,26,1.86,17,263,149,109,107,47,125,214,58.4,89,160,36,124,130,393,248,5,283,20.21,231,21,8,12,8,3,32,2.29,26,1,1,1,3,0,34,2,2,144,160,27,236,130,149,2,0,2,760,191,183,51.1,8144,7426,691,174,20,59,236,306,75,42,23,1,6721,27,144,6721,8144,82.5,110776,37419,3388,3758,90.2,2626,2999,87.6,522,940,55.5,12,11.6,10.9,0.4,124,518,128,29,422,27.8,14,90,100,14,154,80,89,63,23,63,1.5,17,17,0,0,15.4,19.3,-3.9,-0.28,58.1,14,9638,887,2859,4329,2525,335,9636,90,240,37.5,215,152,6650,410,17,154,52,33.8,11,3.71,0.1,0.29,17,2,2,2,15.4,13.9,0.09,1.6,1.1,27.8,58.1,14,154,14,17,12,15,2,2,34,2,1.21,0.86,2.07,1.07,1.93,15.4,13.9,11.6,25.5,1.1,0.83,1.93,1,1.82,15.4,19.3,-3.9,-0.28
Crystal Palace,2022,18,0,0,2,1,15.8,0.29,-1.2,-0.09,58,142,40.8,339,74,28.3,30.5,114,40.4,32.6,213,17,8,19,1.36,13.8,247,148,138,78,31,98,178,55.1,80,171,51,120,114,361,303,1,278,19.86,198,21,23,14,18,4,26,1.86,18,2,3,1,1,1,32,0,0,169,187,18,177,114,148,1,0,1,757,176,172,50.6,6733,6034,681,208,9,54,177,270,57,24,17,2,5383,18,120,5383,6733,79.9,95563,34414,2439,2752,88.6,2303,2639,87.3,513,1009,50.8,13,10.8,8.1,2.2,120,363,75,11,314,27.6,14,90,100,14,154,84,102,52,18,74,1.36,15,18,-3,-0.21,14,18.3,-4.3,-0.31,47.8,14,8305,1044,3089,3590,1717,261,8303,124,275,45.1,245,189,5333,307,14,152,52,34.2,10.86,3.71,0.09,0.27,18.2,9,0,2,14,12.4,0.08,0,1.6,27.6,47.8,14,154,14,14,13,14,0,2,32,0,1,0.93,1.93,1,1.93,14,12.4,10.8,23.2,1,0.77,1.78,0.88,1.66,14,18.3,-4.3,-0.31
Everton,2022,17,2,0,2,0,20.9,0.24,3.9,0.26,109,301,36.2,403,75,50.9,39.5,139,69.1,51.5,258,7,2.7,22,1.47,14.7,290,175,152,109,29,110,187,58.8,77,200,74,126,145,435,361,9,271,18.07,201,26,7,21,12,4,17,1.13,14,1,1,1,0,0,33,0,0,142,145,27,239,145,175,0,2,0,774,186,228,44.9,6509,5782,700,168,23,53,239,290,71,52,16,0,5001,27,118,5001,6509,76.8,92651,33571,2179,2498,87.2,2105,2468,85.3,609,1220,49.9,8,11.1,9.8,-3.1,112,376,91,26,283,26.6,15,90,100,15,165,84,115,50,20,85,0.93,11,17,-6,-0.4,15.4,25.4,-10,-0.66,44.8,15,8234,1073,3067,3441,1813,282,8234,85,235,36.2,258,131,4940,274,10,157,51,32.5,10.47,3.4,0.06,0.2,16.6,3,0,0,15.4,15.4,0.1,-5.4,-5.4,26.6,44.8,15,165,15,10,8,10,0,0,33,0,0.67,0.53,1.2,0.67,1.2,15.4,15.4,11.1,26.5,1.03,0.74,1.77,1.03,1.77,15.4,25.4,-10,-0.66
Fulham,2022,26,3,0,4,0,26.6,0.3,0.6,0.04,70,198,35.4,428,80,36.2,32.7,103,41.7,37.6,193,15,7.8,21,1.4,15,247,138,119,90,38,116,194,59.8,78,185,54,131,108,355,285,4,319,21.27,228,38,12,24,16,1,39,2.6,23,5,3,5,3,0,36,1,0,145,133,22,290,108,138,4,3,0,741,226,212,51.6,6592,5873,697,167,7,54,290,304,77,31,31,0,5004,22,162,5004,6592,75.9,92319,33150,2083,2453,84.9,2249,2683,83.8,554,1068,51.9,14,11.3,8.5,2.7,133,368,109,36,321,28.7,15,90,100,15,165,84,108,56,16,79,1.27,24,26,-2,-0.13,19.6,27.3,-7.6,-0.51,45.7,15,8150,981,2788,3476,1973,298,8145,76,201,37.8,232,136,4928,315,22,177,59,33.3,11.8,3.93,0.1,0.31,16.2,6,4,5,19.6,15.8,0.09,2.4,2.2,28.7,45.7,15,165,15,22,14,18,4,5,36,1,1.47,0.93,2.4,1.2,2.13,19.6,15.8,11.3,27,1.31,0.75,2.06,1.05,1.8,19.6,27.3,-7.6,-0.51
Leeds,2022,26,1,1,4,1,21.3,0.3,-3.7,-0.26,30,177,16.9,325,76,39.4,33.9,97,50.5,41.9,175,11,6.3,23,1.64,15.7,330,185,149,135,46,152,306,49.7,154,174,43,131,145,475,249,5,306,21.86,223,37,8,16,16,6,30,2.14,18,2,1,6,2,1,29,2,2,179,139,19,243,145,185,1,1,1,809,206,200,50.7,6785,6041,725,163,13,36,243,348,76,32,32,3,5107,19,155,5107,6785,75.3,83864,32474,2437,2845,85.7,2063,2520,81.9,391,938,41.7,14,13.5,9.8,0.5,140,450,104,19,417,25.6,14,90,100,14,154,82,95,59,20,67,1.07,22,26,-4,-0.29,20.3,20.2,0.1,0.01,51,14,8400,781,2662,3676,2141,286,8398,94,243,38.7,220,138,5023,408,21,180,58,32.2,12.86,4.14,0.11,0.34,17.4,8,1,2,20.3,18.8,0.11,0.7,1.2,25.6,51,14,154,14,21,14,20,1,2,29,2,1.5,1,2.5,1.43,2.43,20.3,18.8,13.5,32.2,1.45,0.96,2.42,1.34,2.3,20.3,20.2,0.1,0.01
