HomeTeam,Season,SPT_PPM,SPT_+/-,SS_SoT,SS_Gls
Arsenal,2022,2.64,22,77,32
Aston Villa,2022,1.2,-6,56,16
Bournemouth,2022,1.07,-14,48,18
Brentford,2022,1.27,-2,58,23
Brighton,2022,1.5,4,69,20
Chelsea,2022,1.5,0,52,17
Crystal Palace,2022,1.36,-3,52,14
Everton,2022,0.93,-6,51,10
Fulham,2022,1.27,-2,59,22
Leeds,2022,1.07,-4,58,21
Leicester,2022,1.13,0,65,23
Liverpool,2022,1.57,11,87,26
Man City,2022,2.29,26,84,39
Man United,2022,1.86,0,70,18
Newcastle,2022,2,18,74,28
Nott'm Forest,2022,0.87,-19,42,10
Southampton,2022,0.8,-14,54,13
Tottenham,2022,1.93,10,82,29
West Ham,2022,0.93,-5,53,12
Wolves,2022,0.67,-16,46,8
Arsenal,2021,1.82,13,186,60
Aston Villa,2021,1.18,-2,159,50
Brentford,2021,1.21,-8,141,46
Brighton,2021,1.34,-2,141,40
Burnley,2021,0.92,-19,119,32
Chelsea,2021,1.95,43,200,75
Crystal Palace,2021,1.26,4,140,50
Everton,2021,1.03,-23,130,42
Leeds,2021,1,-37,142,42
Leicester,2021,1.37,3,164,62
Liverpool,2021,2.42,68,237,94
Man City,2021,2.45,73,237,96
Man United,2021,1.53,0,179,56
Newcastle,2021,1.29,-18,142,41
Norwich,2021,0.58,-61,104,21
Southampton,2021,1.05,-24,161,41
Tottenham,2021,1.87,29,185,63
Watford,2021,0.61,-43,123,33
West Ham,2021,1.47,9,142,58
Wolves,2021,1.34,-5,133,35
Arsenal,2020,1.61,16,140,53
Aston Villa,2020,1.45,9,178,52
Brighton,2020,1.08,-6,134,39
Burnley,2020,1.03,-22,124,32
Chelsea,2020,1.76,22,193,56
Crystal Palace,2020,1.16,-25,127,39
Everton,2020,1.55,-1,143,45
Fulham,2020,0.74,-26,125,26
Leeds,2020,1.55,8,193,60
Leicester,2020,1.74,18,170,64
Liverpool,2020,1.82,26,204,65
Man City,2020,2.26,51,211,82
Man United,2020,1.95,29,196,70
Newcastle,2020,1.18,-16,130,44
Sheffield United,2020,0.61,-43,92,19
Southampton,2020,1.13,-21,157,47
Tottenham,2020,1.63,23,167,66
West Brom,2020,0.68,-41,106,33
West Ham,2020,1.71,15,158,60
Wolves,2020,1.18,-16,149,34
Arsenal,2019,1.47,8,146,56
Aston Villa,2019,0.92,-26,147,40
Bournemouth,2019,0.89,-25,117,38
Brighton,2019,1.08,-15,139,35
Burnley,2019,1.42,-7,124,41
Chelsea,2019,1.74,15,210,69
Crystal Palace,2019,1.13,-19,115,29
Everton,2019,1.29,-12,159,42
Leicester,2019,1.63,26,183,65
Liverpool,2019,2.61,52,224,83
Man City,2019,2.13,67,250,100
Man United,2019,1.74,30,201,65
Newcastle,2019,1.16,-20,132,38
Norwich,2019,0.55,-49,126,25
Sheffield United,2019,1.42,0,109,36
Southampton,2019,1.37,-9,171,51
